ID,Title,Filename,Genre,Artist
8,"Contemplations of the Universe #1","118_pop_edm_funk_re-energize_remix_1.mp3","EDM","Unknown Artist"
9,"Contemplations of the Universe #2","118_rock_funk_1970s_remix_focus.mp3","Rock","Unknown Artist"
11,"Contemplations of the Universe #4","2025-06-05_18_03_46_remix_1.mp3","Unknown","Unknown Artist"
12,"Contemplations of the Universe #5","2025-06-05_18_03_46_remix_2.mp3","Unknown","Unknown Artist"
13,"Contemplations of the Universe #6","2025-06-05_18_03_46_remix_3.mp3","Unknown","Unknown Artist"
15,"Contemplations of the Universe #8","23.3s_recording_may_28_12_23_pm_1.mp3","Unknown","Unknown Artist"
16,"Contemplations of the Universe #9","23.3s_recording_may_28_12_23_pm.mp3","Unknown","Unknown Artist"
17,"Contemplations of the Universe #10","2_mixolydian_funk_re-energize_depression_remix.mp3","Funk","Unknown Artist"
18,"Contemplations of the Universe #11","3_way_tie_rock_instrumental_1970s_re-energize_remix_1.mp3","Rock","Unknown Artist"
20,"Contemplations of the Universe #13","5_spot_9_pm_classic_rock_re-energize_focus.mp3","Rock","Unknown Artist"
21,"Contemplations of the Universe #14","ac039f51-64d7-449a-9c9f-2af7f5804302_remix.mp3","Unknown","Unknown Artist"
22,"Contemplations of the Universe #15","a_dance_of_the_court_classical_remastered_remix_sleep.mp3","Classical","Unknown Artist"
23,"Contemplations of the Universe #16","a_dance_of_the_court_renassaince_clavier_remastered_remix_sleep_60_bpm.mp3","Unknown","Unknown Artist"
26,"Contemplations of the Universe #18","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_2.mp3","Unknown","Unknown Artist"
27,"Contemplations of the Universe #19","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_3.mp3","Unknown","Unknown Artist"
28,"Contemplations of the Universe #20","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_48_bpm_1.mp3","Unknown","Unknown Artist"
29,"Contemplations of the Universe #21","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_4.mp3","Unknown","Unknown Artist"
30,"Contemplations of the Universe #22","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_5.mp3","Unknown","Unknown Artist"
31,"Contemplations of the Universe #23","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_7.mp3","Unknown","Unknown Artist"
32,"Contemplations of the Universe #24","a_dance_of_the_court_renassaince_lute_remastered_remix_sleep.mp3","Unknown","Unknown Artist"
33,"classical reimagined, HIIT (2)","adoration_edm_-_classical_reimagined_hiit_2.mp3","Classical","Adoration; EDM"
34,"classical reimagined, HIIT","adoration_edm_-_classical_reimagined_hiit.mp3","Classical","Adoration; EDM"
36,"Jazz, Relaxation (1)","a_duet_for_strings_american_songbook_bluegrass_-_jazz_relaxation_1.mp3","Jazz","A Duet for Strings, American Songbook; Bluegrass"
37,"Big Band, Instrumental, Re-Energize","a_duet_for_strings_bluegrass_-_big_band_instrumental_re-energize.mp3","Unknown","A Duet for Strings; Bluegrass"
38,"Contemplations of the Universe #25","a_duet_for_strings_bluegrass_-_big_band_instrumental_re-energize_remix.mp3","Unknown","A Duet for Strings; Bluegrass"
39,"A Duet for Strings, Bluegrass, Instrumental, Relaxation (1)","a_duet_for_strings_bluegrass_instrumental_relaxation_1.mp3","Classical","Unknown Artist"
40,"A Duet for Strings, Bluegrass, Instrumental, Relaxation (2)","a_duet_for_strings_bluegrass_instrumental_relaxation_2.mp3","Classical","Unknown Artist"
41,"A Duet for Strings, Bluegrass, Instrumental, Relaxation (3)","a_duet_for_strings_bluegrass_instrumental_relaxation_3.mp3","Classical","Unknown Artist"
42,"A Duet for Strings, Bluegrass, Instrumental, Relaxation","a_duet_for_strings_bluegrass_instrumental_relaxation.mp3","Classical","Unknown Artist"
44,"Instrumental (1)","a_duet_for_strings_bluegrass_instrumental_relaxation_remix_-_instrumental_1.mp3","Unknown","A Duet for Strings; Bluegrass, Instrumental; Relaxation (Remix)"
45,"A Duet for Strings in NY, Jazz, Bluegrass, Instrumental, Relaxation","a_duet_for_strings_in_ny_jazz_bluegrass_instrumental_relaxation.mp3","Jazz","Unknown Artist"
49,"classical, HIIT (1)","adulation_edm_-_classical_hiit_1.mp3","Classical","Adulation; EDM"
52,"Aerie","aerie.mp3","Unknown","Unknown Artist"
